symbol,entry_time,entry_price,pnl_pct,exit_candles,exit_reason,range_position,distribution_score,entry_reason
BNB/USDT,455,660.4,0.0,30,TIMEOUT_LOSS,0.9280778894472356,60,"upper_zone(0.93),near_top"
BNB/USDT,459,685.9,0.0,30,TIMEOUT_LOSS,0.8625304136253034,60,"upper_zone(0.86),near_top"
BNB/USDT,463,708.6,0.0,30,TIMEOUT_LOSS,0.9096858638743458,70,"upper_zone(0.91),near_top,vol_spike"
BNB/USDT,467,757.0,0.0,30,TIMEOUT_LOSS,0.9300986842105263,70,"upper_zone(0.93),near_top,vol_spike"
BNB/USDT,471,770.9,0.0125,30,TIMEOUT_LOSS,0.7528445006321112,50,"upper_zone(0.75),vol_spike"
BNB/USDT,475,824.1,0.018509586215265172,30,TIMEOUT_PROFIT,0.8164775530340407,70,"upper_zone(0.82),near_top,vol_spike"
BNB/USDT,491,847.9,0.0,30,TIMEOUT_LOSS,0.8978658536585367,60,"upper_zone(0.90),near_top"
BNB/USDT,495,855.5,0.0,30,TIMEOUT_LOSS,0.9002153625269205,60,"upper_zone(0.90),near_top"
BNB/USDT,499,839.3,0.0,30,TIMEOUT_LOSS,0.706796116504854,40,upper_zone(0.71)
BNB/USDT,504,863.7,0.0,30,TIMEOUT_LOSS,0.724415204678363,60,"upper_zone(0.72),near_top"
BNB/USDT,508,862.0,0.0,30,TIMEOUT_LOSS,0.6395242451967064,60,"upper_zone(0.64),near_top"
BNB/USDT,516,880.1,0.0,30,TIMEOUT_LOSS,0.7430639324487339,60,"upper_zone(0.74),near_top"
BNB/USDT,520,902.7,0.0,30,TIMEOUT_LOSS,0.9394329896907225,60,"upper_zone(0.94),near_top"
BNB/USDT,524,919.5,0.0,30,TIMEOUT_LOSS,0.7575757575757575,60,"upper_zone(0.76),near_top"
BNB/USDT,528,983.9,0.037500000000000006,30,TIMEOUT_LOSS,0.8610614192009537,60,"upper_zone(0.86),near_top"
BNB/USDT,532,1016.3,0.037500000000000006,30,TIMEOUT_LOSS,0.7231848184818477,50,"upper_zone(0.72),vol_spike"
BNB/USDT,539,1008.5,0.002646256817055062,30,TIMEOUT_PROFIT,0.6158974358974356,40,upper_zone(0.62)
BNB/USDT,543,1150.8,0.125,6,TP4_HIT,0.8521800779865295,60,"upper_zone(0.85),near_top"
BNB/USDT,547,1306.7,0.125,2,TP4_HIT,0.8792860497886335,70,"upper_zone(0.88),near_top,vol_spike"
BNB/USDT,551,1303.2,0.125,5,TP4_HIT,0.8866873065015483,70,"upper_zone(0.89),near_top,vol_spike"
BNB/USDT,606,890.3,0.0125,30,TIMEOUT_LOSS,0.659800664451827,50,"upper_zone(0.66),rsi_bear"
BNB/USDT,610,893.4,0.009813633310946906,30,TIMEOUT_PROFIT,0.7441860465116276,70,"upper_zone(0.74),near_top,rsi_bear"
BNB/USDT,634,878.3,0.10468803370146874,30,TIMEOUT_PROFIT,0.7761966364812413,60,"upper_zone(0.78),near_top"
BNB/USDT,638,900.2,0.125,28,TP4_HIT,0.767961165048544,60,"upper_zone(0.77),near_top"
BNB/USDT,642,904.0,0.125,24,TP4_HIT,0.8048543689320387,60,"upper_zone(0.80),near_top"
BNB/USDT,646,931.1,0.125,17,TP4_HIT,0.8041493775933608,60,"upper_zone(0.80),near_top"
BNB/USDT,650,923.8,0.125,14,TP4_HIT,0.656038647342995,70,"upper_zone(0.66),near_top,vol_spike"
BNB/USDT,691,617.8,0.0067983166073161735,28,END_OF_DATA,0.622900763358778,90,"upper_zone(0.62),near_top,ema_bear,rsi_bear"
BNB/USDT,695,647.7,0.05198587308939326,24,END_OF_DATA,0.7934904601571271,90,"upper_zone(0.79),near_top,ema_bear,rsi_bear"
BNB/USDT,699,634.7,0.033244052308177126,20,END_OF_DATA,0.6475869809203146,90,"upper_zone(0.65),near_top,ema_bear,rsi_bear"
BNB/USDT,703,655.6,0.06054758999389871,16,END_OF_DATA,0.7690802348336594,80,"upper_zone(0.77),near_top,ema_bear"
BNB/USDT,707,668.6,0.07419608136404426,12,END_OF_DATA,0.808467741935484,80,"upper_zone(0.81),near_top,ema_bear"
XRP/USDT,222,1.0542,-1.0,14,SL_HIT,0.7252095422308188,50,"upper_zone(0.73),vol_spike"
XRP/USDT,229,1.4328,-0.4625,8,SL_HIT,0.8227132125497129,40,upper_zone(0.82)
XRP/USDT,234,1.8004,0.0,30,TIMEOUT_LOSS,0.9884071780212802,60,"upper_zone(0.99),near_top"
XRP/USDT,241,2.4256,0.125,4,TP4_HIT,0.747228497872117,40,upper_zone(0.75)
XRP/USDT,245,2.3703,0.08533624435725436,30,TIMEOUT_PROFIT,0.7067249863313285,40,upper_zone(0.71)
XRP/USDT,249,2.4006,0.06220111638756978,30,TIMEOUT_PROFIT,0.6881508410869431,40,upper_zone(0.69)
XRP/USDT,269,2.4543,0.011871511225196616,30,TIMEOUT_PROFIT,0.6336709834594176,40,upper_zone(0.63)
XRP/USDT,274,2.3728,0.125,26,TP4_HIT,0.7506365951254999,50,"upper_zone(0.75),vol_spike"
XRP/USDT,278,2.5046,0.125,22,TP4_HIT,0.8374505928853755,60,"upper_zone(0.84),near_top"
XRP/USDT,282,3.2444,0.125,17,TP4_HIT,0.8879009886905186,70,"upper_zone(0.89),near_top,vol_spike"
XRP/USDT,286,3.1053,0.125,13,TP4_HIT,0.7753464072082986,50,"upper_zone(0.78),vol_spike"
XRP/USDT,290,3.1009,0.125,9,TP4_HIT,0.7495008319467554,40,upper_zone(0.75)
XRP/USDT,294,3.0571,0.125,6,TP4_HIT,0.7045318255803992,40,upper_zone(0.70)
XRP/USDT,311,2.7385,0.125,11,TP4_HIT,0.6714039323904796,40,upper_zone(0.67)
XRP/USDT,318,2.5667,0.125,7,TP4_HIT,0.6737851017319657,50,"upper_zone(0.67),rsi_bear"
XRP/USDT,331,2.5998,0.125,4,TP4_HIT,0.6131843152112144,40,upper_zone(0.61)
XRP/USDT,350,2.4492,0.125,12,TP4_HIT,0.7371803454277677,40,upper_zone(0.74)
XRP/USDT,372,2.0835,0.0,30,TIMEOUT_LOSS,0.6443044906900326,50,"upper_zone(0.64),rsi_bear"
XRP/USDT,376,2.0785,0.0,30,TIMEOUT_LOSS,0.7347325232759983,50,"upper_zone(0.73),rsi_bear"
XRP/USDT,380,2.2049,0.0125,30,TIMEOUT_LOSS,0.8598402323892517,60,"upper_zone(0.86),near_top"
XRP/USDT,384,2.295,0.01926470588235285,30,TIMEOUT_PROFIT,0.8959049703032195,60,"upper_zone(0.90),near_top"
XRP/USDT,397,2.367,0.05006865230249259,30,TIMEOUT_PROFIT,0.7209136331192002,60,"upper_zone(0.72),near_top"
XRP/USDT,447,2.2359,0.0,30,TIMEOUT_LOSS,0.7621596462648361,60,"upper_zone(0.76),near_top"
XRP/USDT,452,2.2176,0.0,30,TIMEOUT_LOSS,0.721250291579193,40,upper_zone(0.72)
XRP/USDT,456,2.4038,0.0,30,TIMEOUT_LOSS,0.9541602465331278,70,"upper_zone(0.95),near_top,vol_spike"
XRP/USDT,460,2.8357,0.0,30,TIMEOUT_LOSS,0.8418976662649283,40,upper_zone(0.84)
XRP/USDT,464,3.4824,0.125,16,TP4_HIT,0.9488568413647557,70,"upper_zone(0.95),near_top,vol_spike"
XRP/USDT,468,3.5493,0.125,12,TP4_HIT,0.9251727804359383,60,"upper_zone(0.93),near_top"
XRP/USDT,472,3.1422,0.056053879447520855,30,TIMEOUT_PROFIT,0.6424246594192926,40,upper_zone(0.64)
XRP/USDT,517,2.9702,0.035301494848831744,30,TIMEOUT_PROFIT,0.6345260223048333,40,upper_zone(0.63)
XRP/USDT,522,3.1192,0.125,27,TP4_HIT,0.863543371522095,60,"upper_zone(0.86),near_top"
